Date&Time(UTC),Temperature(°C),Humidity(%),Pressure(hPa),Illuminance(lx),Full(RAW),Visible(RAW),Infrared(RAW),
2022-10-18T21:00:23,25.10,49.40,978.80,0.029387,927,629,298,
2022-10-18T21:00:53,25.09,49.40,978.80,0.028491,923,618,305,
2022-10-18T21:01:23,25.10,49.40,978.81,0.029358,922,627,295,
2022-10-18T21:01:53,25.10,49.40,978.80,0.029417,929,630,299,
2022-10-18T21:02:23,25.09,49.40,978.80,0.029781,947,640,307,
2022-10-18T21:02:53,25.09,49.40,978.80,0.029757,933,635,298,
2022-10-18T21:03:23,25.11,49.40,978.81,0.029072,949,633,316,
2022-10-18T21:03:53,25.10,49.40,978.82,0.028215,923,615,308,
2022-10-18T21:04:23,25.09,49.40,978.83,0.028398,929,619,310,
2022-10-18T21:04:53,25.08,49.50,978.83,0.029048,920,623,297,
2022-10-18T21:05:23,25.07,49.50,978.84,0.029018,918,622,296,
2022-10-18T21:05:53,25.08,49.50,978.83,0.029050,917,622,295,
2022-10-18T21:06:23,25.08,49.50,978.82,0.030310,948,646,302,
2022-10-18T21:06:53,25.07,49.50,978.83,0.029660,939,636,303,
2022-10-18T21:07:23,25.07,49.50,978.82,0.029355,928,629,299,
2022-10-18T21:07:53,25.06,49.50,978.81,0.029263,925,627,298,
2022-10-18T21:08:23,25.06,49.50,978.81,0.028735,936,625,311,
2022-10-18T21:08:53,25.07,49.60,978.80,0.032828,1130,734,396,
2022-10-18T21:09:23,25.06,49.60,978.81,0.030482,978,658,320,
2022-10-18T21:09:53,25.06,49.60,978.80,0.029044,929,626,303,
2022-10-18T21:10:23,25.06,49.60,978.79,0.028770,917,619,298,
2022-10-18T21:10:53,25.05,49.60,978.80,0.028189,897,606,291,
2022-10-18T21:11:23,25.04,49.60,978.80,0.027943,893,602,291,
2022-10-18T21:11:53,25.03,49.60,978.80,0.033907,1623,894,729,
2022-10-18T21:12:23,25.03,49.60,978.80,0.028125,905,608,297,
2022-10-18T21:12:53,25.03,49.60,978.80,0.028342,901,609,292,
2022-10-18T21:13:23,25.04,49.70,978.81,0.029108,924,625,299,
2022-10-18T21:13:53,25.03,49.70,978.81,0.029043,932,627,305,
2022-10-18T21:14:23,25.03,49.70,978.82,0.029752,942,638,304,
2022-10-18T21:14:53,25.02,49.70,978.81,0.028736,930,623,307,
2022-10-18T21:15:23,25.02,49.70,978.83,0.028955,920,622,298,
